subject,model,perturbation_type,level,accuracy,f1
1,eegnet,channel_dropout,0.5,41.875,0.39719065768904943
2,eegnet,channel_dropout,0.5,25.97222222222222,0.1732497586013925
3,eegnet,channel_dropout,0.5,37.49999999999999,0.33202563040352473
4,eegnet,channel_dropout,0.5,32.22222222222222,0.2836599354769717
5,eegnet,channel_dropout,0.5,26.319444444444446,0.24053369330742252
6,eegnet,channel_dropout,0.5,29.72222222222222,0.22631171627130722
7,eegnet,channel_dropout,0.5,34.09722222222222,0.30994741599630876
8,eegnet,channel_dropout,0.5,32.29166666666667,0.319241320807759
9,eegnet,channel_dropout,0.5,53.61111111111111,0.49219271895425953
1,gru,channel_dropout,0.5,26.111111111111107,0.14859860205869949
2,gru,channel_dropout,0.5,25.34722222222222,0.23068610211208834
3,gru,channel_dropout,0.5,27.77777777777778,0.18977680403012975
4,gru,channel_dropout,0.5,30.27777777777778,0.2561224069789628
5,gru,channel_dropout,0.5,24.930555555555554,0.1456749968614483
6,gru,channel_dropout,0.5,26.736111111111107,0.15927215033265602
7,gru,channel_dropout,0.5,30.833333333333332,0.26962785344958085
8,gru,channel_dropout,0.5,28.40277777777778,0.19426975125495266
9,gru,channel_dropout,0.5,28.611111111111107,0.17174167146463548
1,lstm,channel_dropout,0.5,30.416666666666668,0.22156401350937785
2,lstm,channel_dropout,0.5,25.97222222222222,0.20322335895071583
3,lstm,channel_dropout,0.5,27.569444444444446,0.16338537913704837
4,lstm,channel_dropout,0.5,26.875,0.15619134678774588
5,lstm,channel_dropout,0.5,23.26388888888889,0.15699407951790234
6,lstm,channel_dropout,0.5,26.041666666666664,0.25114123653621423
7,lstm,channel_dropout,0.5,30.208333333333336,0.22384600582810568
8,lstm,channel_dropout,0.5,30.0,0.21101062083791514
9,lstm,channel_dropout,0.5,26.666666666666668,0.16790275405545133
1,riemann_tslr,channel_dropout,0.5,27.77777777777778,0.19736781349223986
2,riemann_tslr,channel_dropout,0.5,27.15277777777778,0.24916584251641494
3,riemann_tslr,channel_dropout,0.5,25.13888888888889,0.17261865703439738
4,riemann_tslr,channel_dropout,0.5,25.27777777777778,0.1940374527470701
5,riemann_tslr,channel_dropout,0.5,24.583333333333336,0.20171320714891267
6,riemann_tslr,channel_dropout,0.5,24.791666666666664,0.21725790342613943
7,riemann_tslr,channel_dropout,0.5,28.47222222222222,0.21935404838834088
8,riemann_tslr,channel_dropout,0.5,25.694444444444446,0.1494013421909193
9,riemann_tslr,channel_dropout,0.5,28.47222222222222,0.278148480340856
1,shallow_convnet,channel_dropout,0.5,38.611111111111114,0.33201098076880725
2,shallow_convnet,channel_dropout,0.5,26.805555555555554,0.16444558488563182
3,shallow_convnet,channel_dropout,0.5,38.541666666666664,0.32980476032591033
4,shallow_convnet,channel_dropout,0.5,36.45833333333333,0.3394478485563527
5,shallow_convnet,channel_dropout,0.5,26.319444444444446,0.18382645375726672
6,shallow_convnet,channel_dropout,0.5,27.569444444444446,0.19773388971440184
7,shallow_convnet,channel_dropout,0.5,36.31944444444444,0.3110685309993625
8,shallow_convnet,channel_dropout,0.5,37.01388888888889,0.358034630269603
9,shallow_convnet,channel_dropout,0.5,41.80555555555556,0.4008621958988804
