subject,model,condition,shuffle_seed,accuracy,f1
9,cfc,temporal_shuffle,1,56.59722222222222,0.5186081015657935
9,cfc,temporal_shuffle,2,53.81944444444444,0.49706451511707994
9,cfc,temporal_shuffle,3,55.55555555555556,0.5073702446085793
9,cfc,temporal_shuffle,4,55.208333333333336,0.4983314426167518
9,lstm,clean,-1,46.875,0.43378329998233284
9,lstm,temporal_shuffle,0,23.958333333333336,0.11788023050215127
9,lstm,temporal_shuffle,1,25.0,0.11594800253646165
9,lstm,temporal_shuffle,2,25.0,0.12664482664482662
9,lstm,temporal_shuffle,3,25.0,0.12422303926714316
9,lstm,temporal_shuffle,4,25.34722222222222,0.12486322188449848
