subject,model,perturbation_type,level,seed,accuracy,f1
2,gru,band_limited_noise,20.0,3,22.22222222222222,0.1966123624912908
2,gru,band_limited_noise,10.0,3,20.833333333333336,0.1928506871603618
2,gru,band_limited_noise,5.0,3,26.73611111111111,0.2293813497822932
2,gru,band_limited_noise,0.0,3,25.34722222222222,0.17868383158753218
2,gru,channel_dropout,0.1,3,25.0,0.24830754352030948
2,gru,channel_dropout,0.3,3,20.48611111111111,0.19346425780726553
2,gru,channel_dropout,0.5,3,24.305555555555554,0.22655489057090888
2,gru,band_limited_noise,20.0,4,21.875,0.19777312072781147
2,gru,band_limited_noise,10.0,4,23.26388888888889,0.20977219543550624
2,gru,band_limited_noise,5.0,4,22.569444444444446,0.18557832489721035
